Book,Books > Fiction > Computers in Literature,9780553380958,Snow Crash,"Neal Stephenson is such a writer and Snow Crash is such a novel, weaving virtual reality, Sumerian myth, and just about everything in between with a cool, hip cybersensibility to bring us the gigathriller of the information age.",Book partner,9780553380958,17.99,51
Book,Books > Fiction > Computers in Literature,9780441569595,Neuromancer.,"Case, a burned out computer whiz, is asked to steal a security code that is locked in the most heavily guarded databank in the solar system",Book partner,9780441569595,7.99,51
Book,Books > Fiction > Computers in Literature,9780060512804,Cryptonomicon,"With this extraordinary first volume in what promises to be an epoch-making masterpiece, Neal Stephenson hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that ...",Book partner,9780060512804,16.99,56
Book,Books > Fiction > Computers in Literature,9780345391803,The Hitchhiker's Guide to the Galaxy,"Chronicles the journeys, notions, and acquaintances of reluctant galactic traveler Arthur Dent, accompanied by never-before-published material from the late author's archives as well as commentary by famous fans.",Book partner,9780345391803,17.99,58
Book,Books > Fiction > Computers in Literature,9780553382563,"I, Robot","A classic collection of interlocking tales chronicles the near-future development of the robot and features models that have the ability to read minds, experience human emotions, and take over the world--and, perhaps, render humankind ...",Book partner,9780553382563,17.99,54
Book,Books > Fiction > Computers in Literature,9780340837948,The Moon is a Harsh Mistress,The moon in 2075.,Book partner,9780340837948,2.99,52
Book,Books > Fiction > Computers in Literature,9780525951117,Daemon,"In a near-future run by thousands of autonomous computer programs that control the world's wireless networks, a dormant program activates in the wake of a legendary game designer's premature death and launches a sinister effort to dismantle ...",Book partner,9780525951117,22.99,64
Book,Books > Fiction > Computers in Literature,9780451457998,2001,"The epic novel of human transformation that inspired the Stanley Kubrick film delves into the origin of the species, alien visitation, and the future of humankind. Reissue.",Book partner,9780451457998,7.99,36
Book,Books > Fiction > Computers in Literature,9780905712826,2001,,Book partner,9780905712826,14.99,30
Book,Books > Fiction > Computers in Literature,9780385333788,Player Piano,"Vonnegut’s first novel spins the chilling tale of engineer Paul Proteus, who must find a way to live in a world dominated by a super computer and run completely by machines.",Book partner,9780385333788,2.99,94
Book,Books > Fiction > Computers in Literature,9780553294613,The Difference Engine,"In London of 1855, celebrated paleontologist Edward Mallory gets mixed up with Charles Babbage, the inventor of an advanced calculating machine run by his elite group of clackers",Book partner,9780553294613,5.99,85
Book,Books > Fiction > Computers in Literature,9780060987046,Microserfs,"A novel of life in the nineties explores the world of computer giant Microsoft, viewing it as a microcosm of modern society Microserfs: a hilarious, fanatically detailed, and oddly moving book about a handful of misfit Microsoft employees ...",Book partner,9780060987046,2.99,61
Book,Books > Fiction > Computers in Literature,9780525951575,Freedom,"After the outbreak of a brutal civil war in the American Midwest stemming from the Daemon's civilization-rebuilding activities, reluctant Daemon operative Pete Sebeck leads a small band of enlightened humans in an effort to protect the new ...",Book partner,9780525951575,25.99,43
Book,Books > Fiction > Computers in Literature,9780345331199,The Robot Novels,"Lije Baley and R. Daneel Olivaw, a robot, investigate the murders of a famous robotocist, an isolated inhabitant of Solaria, and Jander Panell, an advanced robot",Book partner,9780345331199,20.99,15
Book,Books > Fiction > Computers in Literature,9780684833392,Catch-22,Presents the contemporary classic depicting the struggles of a United States airman attempting to survive the lunacy and depravity of a World War II airbase.,Book partner,9780684833392,0.99,34
Book,Books > Fiction > Computers in Literature,9780450055508,Tron,,Book partner,9780450055508,26.99,13
Book,Books > Fiction > Computers in Literature,9780307887436,Cart's Top 200 Adult Books for Young Adults: Two Decades in Review,"ISBN: 9780307887436. SPEC, HUM Welcome to the year 2044, a grandly   dystopian future where kids like Wade live a largely virtual existence thanks to   global warming. Wade lives in a kind of ghetto area called the Stacks, for the   stacks of ...",Book partner,9780307887436,8.99,4
Book,Books > Fiction > Computers in Literature,9780765319852,Little Brother,"Zit took the fore. “We seem to have gotten off to a bad start. We identified your son   as someone with a nonstandard public transit usage pattern,as part of a new   proactive enforcement program. When we spot people whose travels are unusual  , ...",Book partner,9780765319852,8.99,52
Book,Books > Fiction > Computers in Literature,9780765348272,Old Man's War,A first novel. By the author of The Rough Guide to the Universe. Reprint.,Book partner,9780765348272,17.99,23
Book,Books > Fiction > Computers in Literature,9781429963947,Speaker for the Dead,"In the aftermath of his terrible war, Ender Wiggin disappeared, and a powerful voice arose: The Speaker for the Dead, who told the true story of the Bugger War.",Book partner,9781429963947,22.99,74
Book,Books > Fiction > Computers in Literature,9781409903291,The Machine Stops (Dodo Press),"He achieved his greatest success with A Passage to India (1924). The novel takes as its subject the relationship between East and West, seen through the lens of India in the later days of the British Raj.",Book partner,9781409903291,11.99,19
Book,Books > Fiction > Computers in Literature,9780441013678,Count Zero,"In the future world of the Sprawl, an urban complex that extends from Boston to Houston, where a sentient computer database known as the Cyberspace matrix dominates humanity's fate, a corporate mercenary, awakening in a reconstructed body, ...",Book partner,9780441013678,21.99,68
Book,Books > Fiction > Computers in Literature,9780553380965,The diamond age,The story of an engineer who creates a device to raise a girl capable of thinking for herself reveals what happens when a young girl of the poor underclass obtains the device.,Book partner,9780553380965,5.99,85
Book,Books > Fiction > Computers in Literature,9780345467171,The Shockwave Riders,,Book partner,9780345467171,20.99,81
Book,Books > Fiction > Computers in Literature,9780385533850,Robopocalypse,"Two decades into the future humans are battling for their very survival when a powerful AI computer goes rogue, and all the machines on earth rebel against their human controllers.",Book partner,9780385533850,16.99,7
Book,Books > Fiction > Computers in Literature,9780691147543,The Silicon Jungle,"Baluja tells a story about something that could happen to any of us--if you're even modestly concerned about information privacy, this is an important book to read.",Book partner,9780691147543,7.99,35
